,full
Gender_RightHand_velocity_x_mean,4.05049562000093
Head_position_x_median_RightHand_velocity_x_mean,4.118941070919945
Head_position_x_mean_RightHand_velocity_x_mean,4.097593716212681
Head_position_y_median_RightHand_velocity_x_mean,3.9601078033447266
Head_position_y_mean_RightHand_velocity_x_mean,3.9384739557902018
Head_position_z_median_RightHand_velocity_x_mean,3.987578546433222
Head_position_z_mean_RightHand_velocity_x_mean,4.055583109174456
Head_quat_x_median_RightHand_velocity_x_mean,4.07064151763916
Head_quat_x_mean_RightHand_velocity_x_mean,4.060213997250512
Head_quat_y_median_RightHand_velocity_x_mean,4.089092309134347
Head_quat_y_mean_RightHand_velocity_x_mean,4.114582561311268
Head_quat_z_median_RightHand_velocity_x_mean,4.045941543579102
Head_quat_z_mean_RightHand_velocity_x_mean,4.045675277709961
Head_quat_w_median_RightHand_velocity_x_mean,4.024790346054804
Head_quat_w_mean_RightHand_velocity_x_mean,4.055662409464518
Head_sixD_a_median_RightHand_velocity_x_mean,4.097061093648275
Head_sixD_a_mean_RightHand_velocity_x_mean,4.024335152762276
Head_sixD_b_median_RightHand_velocity_x_mean,4.050582304454985
Head_sixD_b_mean_RightHand_velocity_x_mean,3.993242463611421
Head_sixD_c_median_RightHand_velocity_x_mean,4.060418564932687
Head_sixD_c_mean_RightHand_velocity_x_mean,4.076746023268926
Head_sixD_d_median_RightHand_velocity_x_mean,4.086656697591146
Head_sixD_d_mean_RightHand_velocity_x_mean,4.079122307187035
Head_sixD_e_median_RightHand_velocity_x_mean,4.013938295273554
Head_sixD_e_mean_RightHand_velocity_x_mean,4.110305332002186
Head_sixD_f_median_RightHand_velocity_x_mean,4.082317515781948
Head_sixD_f_mean_RightHand_velocity_x_mean,4.052124904450916
LeftHand_position_x_median_RightHand_velocity_x_mean,3.99100105648949
LeftHand_position_x_mean_RightHand_velocity_x_mean,4.017286972772507
LeftHand_position_y_median_RightHand_velocity_x_mean,4.010027440388997
LeftHand_position_y_mean_RightHand_velocity_x_mean,4.027968551999047
LeftHand_position_z_median_RightHand_velocity_x_mean,3.927765501113165
LeftHand_position_z_mean_RightHand_velocity_x_mean,4.046500896272205
LeftHand_quat_x_median_RightHand_velocity_x_mean,3.9385130110241118
