,full
Gender_RightHand_velocity_x_mean,25.18269326950543
Head_position_x_median_RightHand_velocity_x_mean,25.896042437097268
Head_position_x_mean_RightHand_velocity_x_mean,25.600629130151468
Head_position_y_median_RightHand_velocity_x_mean,24.281964404239087
Head_position_y_mean_RightHand_velocity_x_mean,24.05715302622511
Head_position_z_median_RightHand_velocity_x_mean,24.306108343943734
Head_position_z_mean_RightHand_velocity_x_mean,25.130542807468675
Head_quat_x_median_RightHand_velocity_x_mean,25.242021290107914
Head_quat_x_mean_RightHand_velocity_x_mean,25.046083499003153
Head_quat_y_median_RightHand_velocity_x_mean,25.68889403907794
Head_quat_y_mean_RightHand_velocity_x_mean,25.84922961890934
Head_quat_z_median_RightHand_velocity_x_mean,25.107757332202596
Head_quat_z_mean_RightHand_velocity_x_mean,25.041366564632785
Head_quat_w_median_RightHand_velocity_x_mean,24.822309707206063
Head_quat_w_mean_RightHand_velocity_x_mean,25.120908191564514
Head_sixD_a_median_RightHand_velocity_x_mean,25.650722471419076
Head_sixD_a_mean_RightHand_velocity_x_mean,24.893182451885497
Head_sixD_b_median_RightHand_velocity_x_mean,24.979886722703494
Head_sixD_b_mean_RightHand_velocity_x_mean,24.403320337344173
Head_sixD_c_median_RightHand_velocity_x_mean,25.36109799318537
Head_sixD_c_mean_RightHand_velocity_x_mean,25.4854440876777
Head_sixD_d_median_RightHand_velocity_x_mean,25.545142268590123
Head_sixD_d_mean_RightHand_velocity_x_mean,25.38556295919914
Head_sixD_e_median_RightHand_velocity_x_mean,24.611142469937572
Head_sixD_e_mean_RightHand_velocity_x_mean,25.722763124041098
Head_sixD_f_median_RightHand_velocity_x_mean,25.415751878009058
Head_sixD_f_mean_RightHand_velocity_x_mean,25.041847651416894
LeftHand_position_x_median_RightHand_velocity_x_mean,24.47933227564222
LeftHand_position_x_mean_RightHand_velocity_x_mean,24.751020279630186
LeftHand_position_y_median_RightHand_velocity_x_mean,24.71493859183694
LeftHand_position_y_mean_RightHand_velocity_x_mean,24.696289953843813
LeftHand_position_z_median_RightHand_velocity_x_mean,23.89653625633694
