,full
Gender_RightHand_velocity_x_mean,-0.4821969270706177
Head_position_x_median_RightHand_velocity_x_mean,-0.524182915687561
Head_position_x_mean_RightHand_velocity_x_mean,-0.5067957639694214
Head_position_y_median_RightHand_velocity_x_mean,-0.42918193340301514
Head_position_y_mean_RightHand_velocity_x_mean,-0.41595005989074707
Head_position_z_median_RightHand_velocity_x_mean,-0.43060302734375
Head_position_z_mean_RightHand_velocity_x_mean,-0.4791274070739746
Head_quat_x_median_RightHand_velocity_x_mean,-0.4856889247894287
Head_quat_x_mean_RightHand_velocity_x_mean,-0.47415637969970703
Head_quat_y_median_RightHand_velocity_x_mean,-0.5119906663894653
Head_quat_y_mean_RightHand_velocity_x_mean,-0.5214277505874634
Head_quat_z_median_RightHand_velocity_x_mean,-0.4777863025665283
Head_quat_z_mean_RightHand_velocity_x_mean,-0.4738788604736328
Head_quat_w_median_RightHand_velocity_x_mean,-0.46098554134368896
Head_quat_w_mean_RightHand_velocity_x_mean,-0.47856032848358154
Head_sixD_a_median_RightHand_velocity_x_mean,-0.5097440481185913
Head_sixD_a_mean_RightHand_velocity_x_mean,-0.4651569128036499
Head_sixD_b_median_RightHand_velocity_x_mean,-0.4702601432800293
Head_sixD_b_mean_RightHand_velocity_x_mean,-0.4363245964050293
Head_sixD_c_median_RightHand_velocity_x_mean,-0.4926973581314087
Head_sixD_c_mean_RightHand_velocity_x_mean,-0.5000159740447998
Head_sixD_d_median_RightHand_velocity_x_mean,-0.5035299062728882
Head_sixD_d_mean_RightHand_velocity_x_mean,-0.49413740634918213
Head_sixD_e_median_RightHand_velocity_x_mean,-0.44855666160583496
Head_sixD_e_mean_RightHand_velocity_x_mean,-0.513984203338623
Head_sixD_f_median_RightHand_velocity_x_mean,-0.495914101600647
Head_sixD_f_mean_RightHand_velocity_x_mean,-0.4739069938659668
LeftHand_position_x_median_RightHand_velocity_x_mean,-0.4407987594604492
LeftHand_position_x_mean_RightHand_velocity_x_mean,-0.45678961277008057
LeftHand_position_y_median_RightHand_velocity_x_mean,-0.45466578006744385
LeftHand_position_y_mean_RightHand_velocity_x_mean,-0.45356833934783936
LeftHand_position_z_median_RightHand_velocity_x_mean,-0.40649664402008057
LeftHand_position_z_mean_RightHand_velocity_x_mean,-0.4622499942779541
LeftHand_quat_x_median_RightHand_velocity_x_mean,-0.4115406274795532
LeftHand_quat_x_mean_RightHand_velocity_x_mean,-0.4038306474685669
LeftHand_quat_y_median_RightHand_velocity_x_mean,-0.4654874801635742
LeftHand_quat_y_mean_RightHand_velocity_x_mean,-0.4323399066925049
LeftHand_quat_z_median_RightHand_velocity_x_mean,-0.4404836893081665
LeftHand_quat_z_mean_RightHand_velocity_x_mean,-0.5016638040542603
LeftHand_quat_w_median_RightHand_velocity_x_mean,-0.5129470825195312
LeftHand_quat_w_mean_RightHand_velocity_x_mean,-0.45878028869628906
LeftHand_sixD_a_median_RightHand_velocity_x_mean,-0.46720194816589355
LeftHand_sixD_a_mean_RightHand_velocity_x_mean,-0.48576080799102783
LeftHand_sixD_b_median_RightHand_velocity_x_mean,-0.4641684293746948
LeftHand_sixD_b_mean_RightHand_velocity_x_mean,-0.4985727071762085
LeftHand_sixD_c_median_RightHand_velocity_x_mean,-0.4707068204879761
LeftHand_sixD_c_mean_RightHand_velocity_x_mean,-0.4540727138519287
LeftHand_sixD_d_median_RightHand_velocity_x_mean,-0.47114765644073486
LeftHand_sixD_d_mean_RightHand_velocity_x_mean,-0.4884164333343506
LeftHand_sixD_e_median_RightHand_velocity_x_mean,-0.4777548313140869
