,full
Gender_RightHand_velocity_x_mean,5.018236071520095
Head_position_x_median_RightHand_velocity_x_mean,5.088815425725055
Head_position_x_mean_RightHand_velocity_x_mean,5.059706427269419
Head_position_y_median_RightHand_velocity_x_mean,4.927673325641533
Head_position_y_mean_RightHand_velocity_x_mean,4.904809173273218
Head_position_z_median_RightHand_velocity_x_mean,4.930122548572574
Head_position_z_mean_RightHand_velocity_x_mean,5.013037283670317
Head_quat_x_median_RightHand_velocity_x_mean,5.024143836526569
Head_quat_x_mean_RightHand_velocity_x_mean,5.004606228166523
Head_quat_y_median_RightHand_velocity_x_mean,5.068421257065945
Head_quat_y_mean_RightHand_velocity_x_mean,5.084213766051674
Head_quat_z_median_RightHand_velocity_x_mean,5.010764146535196
Head_quat_z_mean_RightHand_velocity_x_mean,5.00413494668487
Head_quat_w_median_RightHand_velocity_x_mean,4.982199284172208
Head_quat_w_mean_RightHand_velocity_x_mean,5.012076235609801
Head_sixD_a_median_RightHand_velocity_x_mean,5.064654230193714
Head_sixD_a_mean_RightHand_velocity_x_mean,4.989306810758936
Head_sixD_b_median_RightHand_velocity_x_mean,4.99798826756361
Head_sixD_b_mean_RightHand_velocity_x_mean,4.939971693982079
Head_sixD_c_median_RightHand_velocity_x_mean,5.035980340825942
Head_sixD_c_mean_RightHand_velocity_x_mean,5.04831101336652
Head_sixD_d_median_RightHand_velocity_x_mean,5.054220243379796
Head_sixD_d_mean_RightHand_velocity_x_mean,5.038408772539118
Head_sixD_e_median_RightHand_velocity_x_mean,4.960961849272535
Head_sixD_e_mean_RightHand_velocity_x_mean,5.07176134336397
Head_sixD_f_median_RightHand_velocity_x_mean,5.0414037606612165
Head_sixD_f_mean_RightHand_velocity_x_mean,5.0041830153799225
LeftHand_position_x_median_RightHand_velocity_x_mean,4.947659272387522
LeftHand_position_x_mean_RightHand_velocity_x_mean,4.9750397264373865
LeftHand_position_y_median_RightHand_velocity_x_mean,4.9714121325672584
LeftHand_position_y_mean_RightHand_velocity_x_mean,4.969536191018616
LeftHand_position_z_median_RightHand_velocity_x_mean,4.88840835613566
LeftHand_position_z_mean_RightHand_velocity_x_mean,4.984355250944339
LeftHand_quat_x_median_RightHand_velocity_x_mean,4.897166092748768
LeftHand_quat_x_mean_RightHand_velocity_x_mean,4.883773279815351
LeftHand_quat_y_median_RightHand_velocity_x_mean,4.989869655976102
LeftHand_quat_y_mean_RightHand_velocity_x_mean,4.933114334566589
LeftHand_quat_z_median_RightHand_velocity_x_mean,4.947118500006814
LeftHand_quat_z_mean_RightHand_velocity_x_mean,5.051083314635259
LeftHand_quat_w_median_RightHand_velocity_x_mean,5.070023814583089
LeftHand_quat_w_mean_RightHand_velocity_x_mean,4.978437667580983
LeftHand_sixD_a_median_RightHand_velocity_x_mean,4.992787475890892
LeftHand_sixD_a_mean_RightHand_velocity_x_mean,5.024265712872242
LeftHand_sixD_b_median_RightHand_velocity_x_mean,4.98762368639624
LeftHand_sixD_b_mean_RightHand_velocity_x_mean,5.045881668409385
LeftHand_sixD_c_median_RightHand_velocity_x_mean,4.998747475359013
LeftHand_sixD_c_mean_RightHand_velocity_x_mean,4.970398227778948
LeftHand_sixD_d_median_RightHand_velocity_x_mean,4.999496219336321
LeftHand_sixD_d_mean_RightHand_velocity_x_mean,5.028753823783543
LeftHand_sixD_e_median_RightHand_velocity_x_mean,5.0107105294636405
LeftHand_sixD_e_mean_RightHand_velocity_x_mean,4.940336480822519
LeftHand_sixD_f_median_RightHand_velocity_x_mean,4.911569269496427
LeftHand_sixD_f_mean_RightHand_velocity_x_mean,4.989864814339246
RightHand_position_x_median_RightHand_velocity_x_mean,4.988214298815417
RightHand_position_x_mean_RightHand_velocity_x_mean,4.913529923499399
RightHand_position_y_median_RightHand_velocity_x_mean,4.93247596581953
RightHand_position_y_mean_RightHand_velocity_x_mean,4.942795901967223
RightHand_position_z_median_RightHand_velocity_x_mean,5.012325179476998
RightHand_position_z_mean_RightHand_velocity_x_mean,4.94478304054034
RightHand_quat_x_median_RightHand_velocity_x_mean,4.948893667799844
RightHand_quat_x_mean_RightHand_velocity_x_mean,4.936782269186509
RightHand_quat_y_median_RightHand_velocity_x_mean,5.045879734391407
RightHand_quat_y_mean_RightHand_velocity_x_mean,5.0007201010764115
RightHand_quat_z_median_RightHand_velocity_x_mean,5.046281375981985
RightHand_quat_z_mean_RightHand_velocity_x_mean,5.057172754176303
RightHand_quat_w_median_RightHand_velocity_x_mean,5.008094479434349
RightHand_quat_w_mean_RightHand_velocity_x_mean,4.935312519289748
RightHand_sixD_a_median_RightHand_velocity_x_mean,5.094388738734001
RightHand_sixD_a_mean_RightHand_velocity_x_mean,5.046892685187897
RightHand_sixD_b_median_RightHand_velocity_x_mean,4.993057021169041
RightHand_sixD_b_mean_RightHand_velocity_x_mean,4.986847122311414
RightHand_sixD_c_median_RightHand_velocity_x_mean,5.045644785513711
RightHand_sixD_c_mean_RightHand_velocity_x_mean,4.987302565012294
RightHand_sixD_d_median_RightHand_velocity_x_mean,5.003827945142527
