,full
A_Build_Time_Gender,0.8142857142857143
Gender_Head_quat_x_median,0.81859410430839
Gender_Head_quat_x_mean,0.81859410430839
Gender_Head_quat_y_median,0.81859410430839
Gender_Head_quat_y_mean,0.81859410430839
Gender_Head_quat_z_median,0.81859410430839
Gender_Head_quat_z_mean,0.81859410430839
Gender_Head_quat_w_median,0.81859410430839
Gender_Head_quat_w_mean,0.81859410430839
Gender_LeftHand_quat_x_median,0.81859410430839
Gender_LeftHand_quat_x_mean,0.81859410430839
Gender_LeftHand_quat_y_median,0.81859410430839
Gender_LeftHand_quat_y_mean,0.81859410430839
Gender_LeftHand_quat_z_median,0.8177655677655677
Gender_LeftHand_quat_z_mean,0.81859410430839
Gender_LeftHand_quat_w_median,0.81859410430839
Gender_LeftHand_quat_w_mean,0.8169209431345354
Gender_RightHand_quat_x_median,0.81859410430839
Gender_RightHand_quat_x_mean,0.9217032967032966
Gender_RightHand_quat_y_median,0.847949080622348
Gender_RightHand_quat_y_mean,0.81859410430839
Gender_RightHand_quat_z_median,0.81859410430839
Gender_RightHand_quat_z_mean,0.81859410430839
Gender_RightHand_quat_w_median,0.8177655677655677
Gender_RightHand_quat_w_mean,0.81859410430839
Gender_Head_velocity_x_median,0.81859410430839
Gender_Head_velocity_x_mean,0.8169209431345354
Gender_Head_velocity_y_median,0.81859410430839
Gender_Head_velocity_y_mean,0.81859410430839
Gender_Head_velocity_z_median,0.81859410430839
Gender_Head_velocity_z_mean,0.81859410430839
Gender_LeftHand_velocity_x_median,0.8169209431345354
Gender_LeftHand_velocity_x_mean,0.847949080622348
Gender_LeftHand_velocity_y_median,0.81859410430839
Gender_LeftHand_velocity_y_mean,0.81859410430839
Gender_LeftHand_velocity_z_median,0.8160597572362278
Gender_LeftHand_velocity_z_mean,0.81859410430839
Gender_RightHand_velocity_x_median,0.81859410430839
Gender_RightHand_velocity_x_mean,0.81859410430839
Gender_RightHand_velocity_y_median,0.8566760037348271
Gender_RightHand_velocity_y_mean,0.81859410430839
Gender_RightHand_velocity_z_median,0.8177655677655677
Gender_RightHand_velocity_z_mean,0.847949080622348
Gender_RightHand_velocity_z_max,0.8169209431345354
A_Build_Time_Head_quat_x_median,0.8169209431345354
A_Build_Time_Head_quat_x_mean,0.8160597572362278
A_Build_Time_Head_quat_y_median,0.81859410430839
A_Build_Time_Head_quat_y_mean,0.847949080622348
A_Build_Time_Head_quat_z_median,0.8142857142857143
A_Build_Time_Head_quat_z_mean,0.8169209431345354
A_Build_Time_Head_quat_w_median,0.8566760037348271
A_Build_Time_Head_quat_w_mean,0.847949080622348
