Feature,VIF
RightHand_angular_jerk_time_since_pause_std,inf
Head_position_x_min,inf
Head_position_x_max,inf
Head_position_x_median,inf
Head_position_x_mean,inf
Head_position_x_std,inf
Head_position_y_min,inf
Head_position_y_max,inf
Head_position_y_median,inf
Head_position_y_mean,inf
Head_position_y_std,inf
Head_position_z_min,inf
Head_position_z_max,inf
Head_position_z_median,inf
RightHand_acceleration_pause_duration_max,inf
RightHand_acceleration_pause_duration_mean,inf
RightHand_acceleration_pause_duration_std,inf
RightHand_acceleration_time_since_pause_min,inf
RightHand_acceleration_time_since_pause_max,inf
RightHand_acceleration_time_since_pause_median,inf
RightHand_acceleration_time_since_pause_mean,inf
RightHand_acceleration_time_since_pause_std,inf
RightHand_velocity_pause_duration_max,inf
RightHand_velocity_pause_duration_mean,inf
RightHand_velocity_pause_duration_std,inf
RightHand_velocity_time_since_pause_min,inf
RightHand_velocity_time_since_pause_max,inf
RightHand_velocity_time_since_pause_median,inf
RightHand_velocity_time_since_pause_mean,inf
RightHand_velocity_time_since_pause_std,inf
LeftHand_angular_jerk_pause_duration_max,inf
LeftHand_angular_jerk_pause_duration_mean,inf
LeftHand_angular_jerk_pause_duration_std,inf
LeftHand_angular_jerk_time_since_pause_min,inf
LeftHand_angular_jerk_time_since_pause_max,inf
LeftHand_angular_jerk_time_since_pause_median,inf
LeftHand_angular_jerk_time_since_pause_mean,inf
LeftHand_angular_jerk_time_since_pause_std,inf
LeftHand_angular_acceleration_pause_duration_max,inf
LeftHand_angular_acceleration_pause_duration_mean,inf
LeftHand_angular_acceleration_pause_duration_std,inf
LeftHand_angular_acceleration_time_since_pause_min,inf
LeftHand_angular_acceleration_time_since_pause_max,inf
LeftHand_angular_acceleration_time_since_pause_median,inf
LeftHand_angular_acceleration_time_since_pause_mean,inf
LeftHand_angular_acceleration_time_since_pause_std,inf
LeftHand_position_y_min,inf
LeftHand_position_y_max,inf
LeftHand_position_y_median,inf
LeftHand_position_y_mean,inf
LeftHand_position_y_std,inf
LeftHand_position_z_min,inf
LeftHand_position_z_max,inf
LeftHand_position_z_median,inf
Head_sixD_f_median,inf
Head_sixD_f_mean,inf
Head_sixD_f_std,inf
LeftHand_position_x_min,inf
LeftHand_position_x_max,inf
LeftHand_position_x_median,inf
LeftHand_position_x_mean,inf
LeftHand_position_x_std,inf
Head_sixD_d_std,inf
Head_sixD_e_min,inf
Head_sixD_e_max,inf
Head_sixD_e_median,inf
Head_sixD_e_mean,inf
Head_sixD_e_std,inf
Head_sixD_f_min,inf
Head_sixD_f_max,inf
Head_sixD_c_max,inf
Head_sixD_c_median,inf
Head_sixD_c_mean,inf
Head_sixD_c_std,inf
Head_sixD_d_min,inf
Head_sixD_d_max,inf
Head_sixD_d_median,inf
Head_sixD_d_mean,inf
LeftHand_sixD_a_median,inf
LeftHand_sixD_a_mean,inf
LeftHand_sixD_a_std,inf
LeftHand_sixD_b_min,inf
LeftHand_sixD_b_max,inf
LeftHand_sixD_b_median,inf
LeftHand_sixD_b_mean,inf
LeftHand_sixD_b_std,inf
LeftHand_quat_z_std,inf
LeftHand_quat_w_min,inf
LeftHand_quat_w_max,inf
LeftHand_quat_w_median,inf
LeftHand_quat_w_mean,inf
LeftHand_quat_w_std,inf
LeftHand_sixD_a_min,inf
LeftHand_sixD_a_max,inf
LeftHand_quat_y_max,inf
LeftHand_quat_y_median,inf
LeftHand_quat_y_mean,inf
LeftHand_quat_y_std,inf
LeftHand_quat_z_min,inf
LeftHand_quat_z_max,inf
LeftHand_quat_z_median,inf
LeftHand_quat_z_mean,inf
