,0,1,2,3,4,5,6,7,8,9,10,11,12
0,step0_Head_angacc_y_201_pause_0.5_duration_count,step1_Head_angacc_magnitude_13_pause_0.5_time_to_min_duration,step2_Head_linacc_magnitude_531_pause_1.25_durations_coeff_of_var,step3_Head_angacc_magnitude_531_pause_1.25_duration_count,step4_Head_angacc_magnitude_531_pause_1_durations_min,step5_Head_angacc_magnitude_201_pause_0.5_durations_sum,step6_Head_angacc_magnitude_531_pause_1_durations_var,step7_Head_angacc_y_13_pause_1_duration_frequency,step8_Head_angacc_magnitude_13_pause_0.75_durations_mean,step9_Head_angacc_x_201_pause_0.5_durations_min,step10_Head_angacc_x_531_pause_0.5_durations_slope,step11_Head_angacc_magnitude_13_pause_0.75_durations_range,substep36_Head_angacc_magnitude_13_pause_1_durations_kurtosis
1,step0_Head_angacc_y_531_pause_1.25_durations_skewness,step1_Head_angacc_x_13_pause_1_time_to_min_duration,step2_Head_linacc_y_51_pause_1.25_durations_slope,step3_Head_angacc_magnitude_531_pause_1.25_durations_kurtosis,step4_Head_angacc_magnitude_7_pause_1_durations_range,step5_Head_angacc_y_201_pause_1.25_time_to_min_duration,step6_Head_angacc_y_531_pause_1.25_durations_var,step7_Head_angacc_z_13_pause_0.5_durations_min,step8_Head_angacc_magnitude_13_pause_0.75_durations_var,step9_Head_linacc_z_13_pause_1_durations_kurtosis,step10_Head_angvel_magnitude_21_pause_1.25_durations_slope,step11_Head_angacc_magnitude_13_pause_1_durations_kurtosis,substep36_Head_angacc_magnitude_21_pause_0.75_durations_kurtosis
2,step0_Head_angacc_z_201_pause_0.75_durations_kurtosis,step1_Head_angacc_x_21_pause_1.25_durations_slope,step2_Head_linvel_magnitude_531_pause_0.5_durations_skewness,step3_Head_angacc_x_201_pause_0.5_durations_iqr,step4_Head_angvel_magnitude_201_pause_0.5_durations_median,step5_Head_angvel_y_531_pause_0.75_durations_kurtosis,step6_Head_angacc_z_201_pause_1_durations_kurtosis,step7_Head_angacc_z_531_pause_1_durations_var,step8_Head_angacc_x_13_pause_1_time_to_min_duration,step9_Head_linacc_z_21_pause_1.25_durations_median,step10_Head_angvel_x_531_pause_0.5_durations_slope,step11_Head_angacc_magnitude_21_pause_1.25_durations_coeff_of_var,substep36_Head_angacc_x_201_pause_0.75_durations_kurtosis
3,step0_Head_angvel_magnitude_201_pause_0.5_durations_kurtosis,step1_Head_angvel_magnitude_531_pause_0.5_time_to_max_duration,step2_LeftHand_angacc_z_531_pause_0.5_durations_slope,step3_Head_angvel_magnitude_531_pause_0.5_durations_kurtosis,step4_Head_angvel_magnitude_35_pause_1_durations_skewness,step5_Head_linacc_x_201_pause_0.75_time_to_min_duration,step6_Head_angacc_z_21_pause_1_time_to_min_duration,step7_Head_angvel_y_531_pause_0.75_durations_slope,step8_Head_angacc_z_13_pause_0.5_durations_slope,step9_Head_linvel_x_201_pause_0.5_durations_iqr,step10_Head_linacc_magnitude_35_pause_1.25_durations_var,step11_Head_angacc_magnitude_21_pause_1.25_durations_skewness,substep36_Head_angacc_x_201_pause_0.75_durations_skewness
4,step0_Head_angvel_z_201_pause_0.5_durations_skewness,step1_Head_angvel_x_51_pause_1.25_durations_iqr,step2_LeftHand_angvel_magnitude_201_pause_1_time_to_max_duration,step3_Head_linacc_x_21_pause_1_time_to_min_duration,step4_Head_angvel_x_7_pause_1.25_durations_var,step5_Head_linacc_x_201_pause_1.25_durations_coeff_of_var,step6_Head_angvel_y_531_pause_1.25_durations_var,step7_LeftHand_angacc_magnitude_531_pause_1_durations_min,step8_Head_angvel_magnitude_201_pause_1.25_durations_slope,step9_Head_linvel_x_201_pause_0.5_durations_var,step10_Head_linacc_y_531_pause_0.5_durations_slope,step11_Head_angacc_magnitude_7_pause_1.25_durations_kurtosis,substep36_Head_angacc_y_21_pause_0.5_durations_var
5,step0_Head_linacc_magnitude_35_pause_0.75_durations_kurtosis,step1_Head_angvel_x_51_pause_1.25_durations_slope,step2_LeftHand_linacc_magnitude_35_pause_1.25_durations_var,step3_Head_linacc_x_531_pause_1.25_duration_count,step4_Head_linacc_magnitude_201_pause_0.5_duration_count,step5_Head_linacc_x_201_pause_1.25_durations_kurtosis,step6_Head_linacc_magnitude_21_pause_1.25_durations_kurtosis,step7_LeftHand_angacc_x_531_pause_0.5_durations_median,step8_Head_angvel_magnitude_35_pause_0.75_durations_kurtosis,step9_Head_linvel_z_201_pause_0.5_durations_iqr,step10_Head_linacc_z_21_pause_1.25_durations_slope,step11_Head_angacc_x_13_pause_1.25_durations_kurtosis,substep36_Head_angacc_z_201_pause_0.5_time_to_max_duration
6,step0_Head_linacc_magnitude_35_pause_0.75_durations_skewness,step1_Head_angvel_z_21_pause_1_time_to_min_duration,step2_LeftHand_linacc_x_201_pause_1_time_to_min_duration,step3_Head_linvel_magnitude_201_pause_1_time_to_max_duration,step4_Head_linacc_magnitude_35_pause_0.75_time_to_min_duration,step5_Head_linacc_x_35_pause_1.25_durations_kurtosis,step6_Head_linacc_x_7_pause_0.5_duration_frequency,step7_LeftHand_angacc_y_531_pause_0.75_durations_std,step8_Head_angvel_x_21_pause_0.5_durations_kurtosis,step9_LeftHand_linvel_x_201_pause_0.5_durations_iqr,step10_LeftHand_angvel_z_531_pause_0.5_durations_slope,step11_Head_angacc_x_21_pause_1.25_durations_skewness,substep36_Head_angacc_z_531_pause_0.75_durations_coeff_of_var
7,step0_Head_linacc_magnitude_51_pause_1_durations_kurtosis,step1_Head_linacc_x_7_pause_0.75_time_to_min_duration,step2_LeftHand_linacc_x_531_pause_1_durations_median,step3_Head_linvel_magnitude_531_pause_1.25_duration_count,step4_Head_linvel_y_7_pause_0.5_duration_count,step5_Head_linacc_y_51_pause_1.25_time_to_min_duration,step6_Head_linacc_y_13_pause_1_durations_coeff_of_var,step7_LeftHand_angacc_z_531_pause_0.5_durations_median,step8_Head_angvel_x_21_pause_1.25_durations_kurtosis,step9_RightHand_angacc_magnitude_531_pause_1_durations_min,step10_LeftHand_angvel_z_531_pause_0.75_durations_slope,step11_Head_angacc_x_51_pause_1.25_durations_skewness,substep36_Head_angacc_z_531_pause_0.75_durations_iqr
8,step0_Head_linacc_y_531_pause_0.5_durations_iqr,step1_Head_linacc_y_51_pause_1.25_time_to_min_duration,step2_LeftHand_linacc_x_531_pause_1_durations_min,step3_Head_linvel_y_531_pause_0.75_time_to_min_duration,step4_Head_linvel_z_7_pause_1.25_durations_coeff_of_var,step5_Head_linacc_z_13_pause_1.25_durations_slope,step6_Head_linacc_y_201_pause_0.75_durations_skewness,step7_LeftHand_linacc_z_201_pause_1.25_durations_kurtosis,step8_Head_angvel_x_51_pause_0.5_durations_coeff_of_var,step9_RightHand_linvel_y_201_pause_0.5_durations_median,step10_LeftHand_linacc_magnitude_35_pause_0.75_durations_kurtosis,step11_Head_angacc_y_201_pause_0.5_durations_median,substep36_Head_angacc_z_531_pause_1.25_durations_iqr
9,step0_Head_linacc_z_201_pause_1.25_durations_kurtosis,step1_Head_linacc_z_35_pause_0.5_time_to_min_duration,step2_LeftHand_linacc_z_531_pause_1_durations_min,step3_LeftHand_angacc_x_531_pause_0.75_durations_kurtosis,step4_LeftHand_angacc_magnitude_13_pause_0.75_duration_count,step5_Head_linacc_z_531_pause_1_time_to_min_duration,step6_Head_linacc_y_21_pause_0.75_durations_coeff_of_var,step7_LeftHand_linacc_z_201_pause_1.25_durations_skewness,step8_Head_angvel_x_51_pause_1_durations_kurtosis,,step10_LeftHand_linvel_magnitude_201_pause_1.25_durations_slope,step11_Head_angacc_y_201_pause_0.5_durations_min,substep36_Head_angvel_magnitude_201_pause_1_durations_skewness
